id,path,md5,species,bcs5,bcs9,confidence,reasoning,source
41518,datasets/icam_dog_bcs/images/498ed1eb2318e0c9cc60bef1edbfbfab.jpg,498ed1eb2318e0c9cc60bef1edbfbfab,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Ribs not visible. Abdominal tuck visible. Lower tummy slopes upwards from ribs to back legs.",ICAM
41519,datasets/icam_dog_bcs/images/bd34895edf38e7ad8efcfdc4b4e08835.jpg,bd34895edf38e7ad8efcfdc4b4e08835,dog,2,3,8,"[ICAM expert BCS5=2, Pro mapped] The dog's ribs are clearly visible along the side of the chest, indicating minimal fat covering. There is an obvious abdominal tuck and waist. While the backbone is not prominently visible, the distinct visibility of the ribs aligns with a BCS of 3.",ICAM
41520,datasets/icam_dog_bcs/images/046c4936df67885c19e0b75a88411d79.jpg,046c4936df67885c19e0b75a88411d79,dog,1,1,9,"[ICAM expert BCS5=1, Pro mapped] The dog exhibits severe emaciation. The ribs, spine, and pelvic bones are sharply protruding and easily visible from a distance. There is a complete lack of body fat and evident severe muscle wasting, particularly over the shoulders and hindquarters, aligning perfectly with a BCS of 1.",ICAM
41521,datasets/icam_dog_bcs/images/d233772a2f422538acd0aff05555fae5.jpg,d233772a2f422538acd0aff05555fae5,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Ribs not visible. Abdominal tuck visible. Lower tummy slopes upwards from ribs to back legs.",ICAM
41522,datasets/icam_dog_bcs/images/c98da192b273dbf2761d36da3b78c438.jpg,c98da192b273dbf2761d36da3b78c438,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Ribs not visible. Abdominal tuck visible. Lower tummy slopes upwards from ribs to back legs.",ICAM
41523,datasets/icam_dog_bcs/images/a430e21a35018cd9fd91ff13000e1038.jpg,a430e21a35018cd9fd91ff13000e1038,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Ribs not visible. Abdominal tuck visible. Lower tummy slopes upwards from ribs to back legs.",ICAM
41524,datasets/icam_dog_bcs/images/ddd4f037bd7ca54fecbcb7de93a56f83.jpg,ddd4f037bd7ca54fecbcb7de93a56f83,dog,2,3,8,"[ICAM expert BCS5=2, Pro mapped] The dog presents with visible ribs and a pronounced abdominal tuck, which are characteristic of a thin body condition. Although the lumbar vertebrae are not prominently visible, the clear visibility of the ribs and the obvious waistline align more closely with a BCS of 3 (Thin) rather than 4 (Underweight), where ribs are typically palpable but not easily visible.",ICAM
41525,datasets/icam_dog_bcs/images/c77f475def6badd4be84e292f8a70c56.jpg,c77f475def6badd4be84e292f8a70c56,dog,4,7,8,"[ICAM expert BCS5=4, Pro mapped] Despite the thick coat, the dog exhibits a rounded abdomen and a lack of an abdominal tuck. The underline of the belly is horizontal from the ribs to the hind legs, indicating a heavier fat covering than what would be seen in a slightly overweight dog. This obvious rounding and lack of tuck align best with a BCS of 7.",ICAM
41526,datasets/icam_dog_bcs/images/9ef5b0997f28b38e9ba3c1f3d7d1f708.jpg,9ef5b0997f28b38e9ba3c1f3d7d1f708,dog,1,1,9,"[ICAM expert BCS5=1, Pro mapped] The dog exhibits extreme emaciation. The ribs, spine, and pelvic bones are sharply protruding and easily visible from a distance. There is a complete absence of body fat and severe muscle wasting is evident, particularly in the hindquarters and shoulders. This aligns perfectly with a BCS of 1 on the 9-point scale.",ICAM
41527,datasets/icam_dog_bcs/images/595eb85da2d4bf7b334dd369cc78aa9c.jpg,595eb85da2d4bf7b334dd369cc78aa9c,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Greyhound - ribs not visible. Abdominal tuck visible. BCS is about fat coverage not body shape.",ICAM
41528,datasets/icam_dog_bcs/images/ba03ea075b6c2088863e30166eefde0c.jpg,ba03ea075b6c2088863e30166eefde0c,dog,4,7,8,"[ICAM expert BCS5=4, Pro mapped] The dog exhibits an obvious rounding of the abdomen with a horizontal lower tummy line, indicating a complete lack of an abdominal tuck. The overall chunky appearance and significant fat deposits suggest a heavy fat covering, which aligns better with a BCS of 7 (Overweight) than a BCS of 6 (Slightly Overweight).",ICAM
41529,datasets/icam_dog_bcs/images/1fae340d54b74eb287902f595cc7edb3.jpg,1fae340d54b74eb287902f595cc7edb3,dog,5,9,9,"[ICAM expert BCS5=5, Pro mapped] The dog exhibits massive fat deposits over the thorax, spine, and neck area. There is no discernible waist or abdominal tuck. The abdomen is severely distended and bulges downward prominently, fitting the criteria for severe obesity.",ICAM
41530,datasets/icam_dog_bcs/images/7e90ba121f10b5eaf8a2480a74588fa5.jpg,7e90ba121f10b5eaf8a2480a74588fa5,dog,1,1,9,"[ICAM expert BCS5=1, Pro mapped] The dog exhibits extreme emaciation. The ribs, spine, and pelvic bones are sharply protruding and clearly visible from a distance. There is a complete lack of body fat and severe muscle wasting is evident, particularly over the hindquarters and along the back. This perfectly matches the criteria for BCS 1.",ICAM
41531,datasets/icam_dog_bcs/images/2821b2e80d1216914d340370f2d7e7eb.jpg,2821b2e80d1216914d340370f2d7e7eb,dog,2,3,8,"[ICAM expert BCS5=2, Pro mapped] The dog's ribs are clearly visible along the thorax, and there is a very obvious waist and abdominal tuck. The pelvic bones are also somewhat prominent. However, the backbone is not severely protruding, which aligns with the expert's observation and points to a score of 3 rather than a 4, where ribs might only be palpable or slightly visible.",ICAM
41532,datasets/icam_dog_bcs/images/a12e2c828c6994f8b2907f498e5ea9d5.jpg,a12e2c828c6994f8b2907f498e5ea9d5,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Serious skin problem but body fat coverage is ideal. Ribs not visible. Abdominal tuck visible.",ICAM
41533,datasets/icam_dog_bcs/images/8dd70f49def8d239017663f18ec5ec3f.jpg,8dd70f49def8d239017663f18ec5ec3f,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Fewer than two ribs visible. Ideal fat coverage. Widely sprung rib cage makes last rib visible.",ICAM
