id,source,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49,
baseline,qwen/qwen3-vl-235b-a22b-instruct,2,1.1429,5,5,7,6,5,5,5,3,5,5,8,7,7,8,9,7,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,8,5,5,8,5,6,5,5,6,5,7,5,6,5,5,6,7
baseline,qwen/qwen3-vl-235b-a22b-instruct,avg,1.1633,5,5,7,6,5,5,5,3,5,5,8,7,7,8,8.5,7,5,5,5,5,5,5,5,5,4.5,5,5,5,5,5,5,5,8,5,5,8,5,6,5,5,6,5,7,5,6,5,5,6,7
baseline,openai/gpt-4o,1,1.1837,3,5,7,5,4,3,5,2,3,5,9,5,8,9,9,9,5,4,4,5,6,2,4,5,4,3,4,4,4,5,4,3,7,4,5,9,5,5,5,4,5,3,9,4,7,3,3,6,4
baseline,openai/gpt-4o,2,1.0204,3,5,7,6,4,4,5,2,4,5,9,6,9,9,9,9,5,4,4,4,6,2,4,5,4,3,4,3,5,5,4,3,7,4,6,9,5,5,7,4,6,3,9,4,7,3,3,5,5
baseline,openai/gpt-4o,avg,1.102,3,5,7,5.5,4,3.5,5,2,3.5,5,9,5.5,8.5,9,9,9,5,4,4,4.5,6,2,4,5,4,3,4,3.5,4.5,5,4,3,7,4,5.5,9,5,5,6,4,5.5,3,9,4,7,3,3,5.5,4.5
baseline,google/gemini-3.1-pro-preview,1,0.5306,5,5,8,7,4,5,5,1,5,5,9,8,9,9,9,9,5,2,5,5,6,1,6,7,3,5,5,3,5,5,3,3,9,5,5,9,7,6,8,7,7,4,9,4,8,5,4,7,3
baseline,google/gemini-3.1-pro-preview,2,0.7143,5,7,8,7,3,4,5,1,5,5,9,8,9,9,9,9,5,2,4,5,5,1,7,5,2,5,5,4,6,5,3,2,9,5,5,9,7,7,8,7,7,4,9,5,8,3,3,8,1
baseline,google/gemini-3.1-pro-preview,avg,0.6224,5,6,8,7,3.5,4.5,5,1,5,5,9,8,9,9,9,9,5,2,4.5,5,5.5,1,6.5,6,2.5,5,5,3.5,5.5,5,3,2.5,9,5,5,9,7,6.5,8,7,7,4,9,4.5,8,4,3.5,7.5,2
baseline,qwen/qwen2.5-vl-72b-instruct,1,1.6939,5,5,7,6,6,4,5,4,6,4,8,6,6,8,6,7,4,6,6,5,6,6,5,4,3,4,4,5,6,4,4,7,7,4,4,8,4,6,4,6,5,5,6,3,6,6,3,6,7
baseline,qwen/qwen2.5-vl-72b-instruct,2,1.6327,4,5,6,6,6,4,4,4,4,4,8,7,6,8,6,7,4,6,6,4,6,6,4,5,3,4,4,5,5,4,4,4,7,5,4,8,4,6,4,6,6,4,6,3,6,6,3,6,8
baseline,qwen/qwen2.5-vl-72b-instruct,avg,1.6633,4.5,5,6.5,6,6,4,4.5,4,5,4,8,6.5,6,8,6,7,4,6,6,4.5,6,6,4.5,4.5,3,4,4,5,5.5,4,4,5.5,7,4.5,4,8,4,6,4,6,5.5,4.5,6,3,6,6,3,6,7.5
baseline,qwen/qwen3-vl-235b-a22b-instruct,1,1.0612,5,5,8,6,5,5,5,3,6,5,9,7,8,9,9,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,9,5,6,5,6,6,5,8,5,6,5,5,5,8
baseline,qwen/qwen3-vl-235b-a22b-instruct,2,1,5,5,8,6,5,5,5,3,5,5,8,8,8,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,9,5,6,5,6,6,5,8,5,6,5,5,6,9
baseline,qwen/qwen3-vl-235b-a22b-instruct,avg,1.0306,5,5,8,6,5,5,5,3,5.5,5,8.5,7.5,8,9,9,8.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.5,5,5,9,5,6,5,6,6,5,8,5,6,5,5,5.5,8.5
baseline,openai/gpt-4o,1,0.6327,5,5,8,7,5,5,5,1,5,5,9,6,9,9,9,9,5,5,5,5,7,2,5,7,5,5,7,5,5,6,5,5,9,5,5,9,7,7,8,7,7,2,9,4,8,5,5,8,5
baseline,openai/gpt-4o,2,0.6939,5,5,8,8,5,5,5,2,5,6,9,6,9,9,9,9,5,5,5,5,7,2,5,7,5,5,7,5,5,8,5,4,9,5,7,9,7,7,7,7,8,2,9,4,8,5,5,7,5
baseline,openai/gpt-4o,avg,0.6633,5,5,8,7.5,5,5,5,1.5,5,5.5,9,6,9,9,9,9,5,5,5,5,7,2,5,7,5,5,7,5,5,7,5,4.5,9,5,6,9,7,7,7.5,7,7.5,2,9,4,8,5,5,7.5,5
